timestamp,model_filename,r2,mse,rmse,data_size
2025-06-10 15:51:19,20250610_RandomForest_r2_0.9523_mae_0.005039.pkl,0.9522744293410517,8.3266297352877e-05,0.009125036841179164,3220
2025-06-10 15:52:00,20250610_RandomForest_r2_0.9523_mae_0.005039.pkl,0.9522744293410516,8.326629735287699e-05,0.009125036841179162,3220
2025-06-10 15:53:21,20250610_RandomForest_r2_0.9523_mae_0.005039.pkl,0.9522744293410516,8.3266297352877e-05,0.009125036841179164,3220
2025-06-10 16:05:28,20250610_RandomForest_r2_0.9523_mae_0.005039.pkl,0.9522744293410516,8.326629735287699e-05,0.009125036841179162,3220
2025-06-10 16:06:13,20250610_RandomForest_r2_0.9523_mae_0.005039.pkl,0.9522744293410517,8.326629735287695e-05,0.00912503684117916,3220
2025-06-10 16:17:19,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-10 16:18:10,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280161e-05,0.009169070881654346,3317
2025-06-10 16:51:23,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280174e-05,0.009169070881654353,3317
2025-06-10 17:15:51,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-10 17:32:58,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-10 22:56:06,20250610_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 06:19:45,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280169e-05,0.00916907088165435,3317
2025-06-11 06:20:23,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776669,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 06:21:09,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776669,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 06:21:31,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 08:58:00,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280174e-05,0.009169070881654353,3317
2025-06-11 10:12:52,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280165e-05,0.009169070881654348,3317
2025-06-11 10:13:41,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280165e-05,0.009169070881654348,3317
2025-06-11 10:23:49,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.40718608328017e-05,0.009169070881654352,3317
2025-06-11 10:33:08,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280165e-05,0.009169070881654348,3317
2025-06-11 10:33:15,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 10:34:01,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 10:34:10,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280176e-05,0.009169070881654355,3317
2025-06-11 12:03:10,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280161e-05,0.009169070881654346,3317
2025-06-11 12:08:02,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280169e-05,0.00916907088165435,3317
2025-06-11 12:28:54,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 16:22:44,20250611_RandomForest_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.40718608328017e-05,0.009169070881654352,3317
2025-06-11 16:36:04,20250611_RF_r2_0.9512_mae_0.004965.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 16:38:04,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280161e-05,0.009169070881654346,3317
2025-06-11 16:39:36,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 16:39:44,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.40718608328017e-05,0.009169070881654352,3317
2025-06-11 16:39:53,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776669,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 16:40:02,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-11 16:40:10,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280174e-05,0.009169070881654353,3317
2025-06-11 16:40:36,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-11 17:06:37,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280165e-05,0.009169070881654348,3317
2025-06-11 17:10:48,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280169e-05,0.00916907088165435,3317
2025-06-11 17:16:21,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.40718608328017e-05,0.009169070881654352,3317
2025-06-11 17:17:39,20250611_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280161e-05,0.009169070881654346,3317
2025-06-12 10:07:47,20250612_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280164e-05,0.009169070881654348,3317
2025-06-12 10:09:44,20250612_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
2025-06-12 10:09:46,20250612_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.40718608328017e-05,0.009169070881654352,3317
2025-06-12 10:10:14,20250612_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280161e-05,0.009169070881654346,3317
2025-06-12 10:10:14,20250612_RF_r2_0.9512_mae_0.0050.pkl,0.9512338261776668,8.407186083280168e-05,0.00916907088165435,3317
