date,mae,loss,loss_rate,name,is_current
2025-06-12 14:09,0.005,157.7692,0.0156,20250612_RF_r2_0.9512_mae_0.0050,
2025-06-14 22:46,0.0048,186.1911,0.016,20250614_RF_r2_0.9529_mae_0.0048,
2025-06-14 22:46,0.0048,186.1911,0.016,20250614_RF_r2_0.9529_mae_0.0048,
